k,mean_recall,std_recall,min_recall,max_recall,success_rate,mean_edges_kept,mean_sparsity,mean_avg_degree,node_mean_recall,node_std_recall
2,0.7784263706164017,0.040375640142065565,0.6,1.0,0.009836065573770493,266.5409836065574,0.07568040217280182,2.3920200010253185,0.7827553199322583,0.28265538193775774
3,0.864412676754415,0.03511504404911477,0.6875,1.0,0.022950819672131147,385.4327868852459,0.10472376251932737,3.447540056160275,0.8669391061041161,0.24633319428497213
4,0.9025704109745032,0.029519641367788733,0.8103448275862069,1.0,0.029508196721311476,503.19344262295084,0.1317618575251081,4.490259638695633,0.9046609233487961,0.21770113171912345
5,0.921857699346283,0.02547895637741681,0.8428571428571429,1.0,0.029508196721311476,619.7147540983607,0.15818848569675023,5.523673635694628,0.92464472424711,0.1977305543471041
7,0.944492477802076,0.021996713948628187,0.8636363636363636,1.0,0.04918032786885246,855.9213114754099,0.2086867497896745,7.616062214722359,0.9467859509609012,0.16980526248419153
10,0.9629007599373668,0.018683146062899204,0.896551724137931,1.0,0.08852459016393442,1224.655737704918,0.28464204003242793,10.86118915076369,0.9636109270304102,0.14191421740826862
15,0.9783300947229852,0.015239707920470445,0.9375,1.0,0.14426229508196722,1850.9803278688526,0.4029405481907694,16.23666940249933,0.9797290332081584,0.1060948760939598
20,0.9866832101869771,0.01252854931508604,0.9487179487179487,1.0,0.23278688524590163,2462.9508196721313,0.5114228875035016,21.43993701967914,0.9889404314851631,0.07791123619356578
25,0.9917736465721767,0.0104867792664573,0.9636363636363636,1.0,0.5245901639344263,3048.7704918032787,0.6130538832044182,26.480386495401433,0.9939474265518004,0.0576919541058883
30,0.9947213619743965,0.008136329348471463,0.9661016949152542,1.0,0.6557377049180327,3355.4196721311478,0.6649683107898777,30.11469787867603,0.9958765922980635,0.047520889859385775
