k,mean_recall,std_recall,min_recall,max_recall,success_rate,mean_edges_kept,mean_sparsity,mean_avg_degree,node_mean_recall,node_std_recall
2,0.10845349071045454,0.13094787928533155,0.011673151750972763,1.0,0.009836065573770493,427.8950819672131,0.10957306329417135,3.820789151266681,0.10229732714822178,0.25152920472299484
3,0.1530689206838694,0.15575759961343094,0.018315018315018316,1.0,0.019672131147540985,629.144262295082,0.15443204922901624,5.615898253741293,0.14835431853324496,0.29446401846561243
4,0.19621300812604947,0.17887674810598678,0.02197802197802198,1.0,0.022950819672131147,822.6229508196722,0.19457232066733032,7.3404765933546585,0.1913923864222075,0.3253589737807405
5,0.23158806546320254,0.19049158573901728,0.029304029304029304,1.0,0.022950819672131147,1008.3770491803278,0.23164701662841952,9.006078760615889,0.23186805095353802,0.34760136217199095
7,0.29936292123648944,0.2155791110969063,0.043333333333333335,1.0,0.03278688524590164,1356.1409836065575,0.2987694393630102,12.15617349326883,0.310124438553862,0.3787307743799007
10,0.3891463599292678,0.2445653467893548,0.06,1.0,0.04918032786885246,1824.1180327868854,0.38438424701520457,16.471489240589875,0.41566158603931963,0.4038689611002359
15,0.5159251298685638,0.28177957962485706,0.09,1.0,0.06885245901639345,2495.862295081967,0.49866237066386154,22.796740573327938,0.5690081731831235,0.4156061644371725
20,0.6122732311877921,0.30608745267927834,0.12,1.0,0.07868852459016394,3092.334426229508,0.5920637529928694,28.378990340230608,0.6839039835063692,0.4097588561723291
25,0.6835072996942595,0.31612021896887355,0.15463917525773196,1.0,0.08852459016393442,3653.9475409836064,0.6765085979214229,33.5161708220601,0.7603342905529784,0.3947843157218654
30,0.7232512940823941,0.3048558715010552,0.17333333333333334,1.0,0.26229508196721313,3981.239344262295,0.719271906456127,37.2994664317002,0.7896473013769236,0.3797643046320247
