k,mean_recall,std_recall,min_recall,max_recall,success_rate,mean_edges_kept,mean_sparsity,mean_avg_degree,node_mean_recall,node_std_recall
2,0.7876951599530405,0.04145858647564682,0.5714285714285714,1.0,0.009836065573770493,287.98688524590165,0.08053990667885616,2.582576064270907,0.7933215521684707,0.28441907444747094
3,0.8688141393752316,0.0372518629266395,0.7,1.0,0.029508196721311476,417.85573770491806,0.1125635072674301,3.7366693836944505,0.8735881010234887,0.24462050387592252
4,0.902233670662852,0.030219131402361814,0.8103448275862069,1.0,0.029508196721311476,545.272131147541,0.14175152742764055,4.865229424093719,0.9073190486709374,0.21741980309972025
5,0.9223148440918626,0.026811697320667436,0.8275862068965517,1.0,0.036065573770491806,671.9016393442623,0.1698954002434069,5.992572327581573,0.9263824460643546,0.19737940912016186
7,0.9421153157577226,0.023543906976976926,0.8620689655172413,1.0,0.04262295081967213,921.4852459016394,0.2229909056746856,8.192096312952813,0.9464914218393343,0.17081545268412493
10,0.9596577659403484,0.020278633561811185,0.8979591836734694,1.0,0.08196721311475409,1295.5311475409835,0.2988671655359921,11.468544004233392,0.9623812679478684,0.14469246598112034
15,0.9744862760080584,0.016582679890073223,0.9310344827586207,1.0,0.12131147540983607,1917.8983606557376,0.41581952039101366,16.830911152293808,0.9773728002356233,0.11250396961388863
20,0.983696960340776,0.0143211404748615,0.9435483870967742,1.0,0.20655737704918034,2545.085245901639,0.5267633475382247,22.128772732053754,0.9868640011781165,0.08587638950900973
25,0.989122834451401,0.012770140989201354,0.9574468085106383,1.0,0.5377049180327869,3165.816393442623,0.6337921799867265,27.32469459805383,0.9926073190486709,0.06418955184889978
30,0.9914340009984639,0.010648019969474738,0.9625,1.0,0.5672131147540984,3382.3639344262297,0.6702686060282115,30.527758050345007,0.9940063323761137,0.057442303663410486
