k,mean_recall,std_recall,min_recall,max_recall,success_rate,mean_edges_kept,mean_sparsity,mean_avg_degree,node_mean_recall,node_std_recall
2,0.7787486451931306,0.041366000584853554,0.6,1.0,0.009836065573770493,266.7081967213115,0.07509005587221994,2.3895343025973133,0.7825786024593182,0.28333925815890715
3,0.8632791998470514,0.03793488277404956,0.6875,1.0,0.02622950819672131,386.2360655737705,0.10537733868846356,3.4571158215333755,0.8659745232309844,0.24771198445541961
4,0.900312518797874,0.03171762170381585,0.75,1.0,0.029508196721311476,504.60655737704917,0.132637870864232,4.501332290526542,0.9032398203372358,0.219778497629791
5,0.9197655222164124,0.026894024396559704,0.8125,1.0,0.029508196721311476,621.9901639344263,0.15862880699548118,5.534373945110068,0.9229659082541787,0.20038012128471291
7,0.9441441535777794,0.022880217568544386,0.8636363636363636,1.0,0.05901639344262295,855.8918032786885,0.20948878520943137,7.612847882833591,0.9451144981960091,0.17255734162926448
10,0.9609304631297285,0.018863573856558007,0.896551724137931,1.0,0.08196721311475409,1209.0459016393443,0.28298895066982754,10.754468415568295,0.96129887342611,0.1467460394983215
15,0.9760581425042395,0.015601741890625555,0.9375,1.0,0.14098360655737704,1801.9967213114753,0.39580696834752027,15.895450336773743,0.9763419483101392,0.11533244718630516
20,0.984955624357353,0.01299323997288659,0.9433962264150944,1.0,0.21639344262295082,2398.7573770491804,0.5016958947106209,20.93420515791704,0.9863780281275311,0.08737385226660621
25,0.9906416000649851,0.011295274419349277,0.9567901234567902,1.0,0.4491803278688525,3002.1672131147543,0.6065901609547605,25.949938502656575,0.9927030410131802,0.06342161389642002
30,0.9935504546917885,0.009096815135886319,0.9629629629629629,1.0,0.6229508196721312,3309.465573770492,0.659238131165869,29.491928602589834,0.9950519107576762,0.052524438232666094
