k,mean_recall,std_recall,min_recall,max_recall,success_rate,mean_edges_kept,mean_sparsity,mean_avg_degree,node_mean_recall,node_std_recall
2,0.7890464095200704,0.06031199765414119,0.125,1.0,0.01639344262295082,264.80655737704916,0.08709716353601835,2.576079201695974,0.7958042525564032,0.28391852515909444
3,0.8650660148638457,0.05813358800421473,0.15625,1.0,0.02622950819672131,384.455737704918,0.1200212315811287,3.7322333399336487,0.8740869988638208,0.24491186048727392
4,0.9032698785036873,0.052418656563394214,0.21875,1.0,0.04918032786885246,502.1540983606557,0.15246716621640374,4.8788081157143885,0.9092111670183411,0.21627959950813733
5,0.9229914694698284,0.04822656912035639,0.28125,1.0,0.06229508196721312,618.2852459016393,0.18308959457580634,6.007523632551406,0.9275442298328194,0.1966922312274963
7,0.9442776577764886,0.04205170368954293,0.375,1.0,0.07868852459016394,849.1770491803279,0.24057634056606916,8.221406009770824,0.9476221392631067,0.16997362921208903
10,0.9598924830986323,0.037804644564203835,0.40625,1.0,0.10491803278688525,1195.2426229508196,0.3206817765307913,11.50149716286957,0.9626521668560298,0.14487190699282065
15,0.9750072315646244,0.026316523144253586,0.625,1.0,0.16065573770491803,1772.4327868852458,0.44230021816101817,16.848144723551286,0.9773900340853757,0.11370209393805038
20,0.9845756118426748,0.019434835538058862,0.75,1.0,0.25573770491803277,2353.0163934426228,0.5558101287833428,22.071160981384775,0.987250446356111,0.08496208474982786
25,0.9903496803084502,0.01253577633482907,0.9375,1.0,0.580327868852459,2914.7081967213117,0.6600745251796041,27.050039882433758,0.9927609154358059,0.06360783214675808
30,0.992723347541511,0.01014849739043264,0.9629629629629629,1.0,0.6229508196721312,3118.1672131147543,0.6990287594701775,30.163399003951042,0.9942379483850025,0.056252392208927485
