k,mean_recall,std_recall,min_recall,max_recall,success_rate,mean_edges_kept,mean_sparsity,mean_avg_degree,node_mean_recall,node_std_recall
2,0.7865561877490067,0.06472510387753375,0.1724137931034483,1.0,0.009836065573770493,285.9049180327869,0.08515562369118707,2.588004435173023,0.7970047691919117,0.28295867581096534
3,0.8640127870202787,0.06427938790506146,0.2413793103448276,1.0,0.02622950819672131,414.82295081967214,0.12038344274935238,3.7543351197673176,0.8751392871469535,0.2438166815306631
4,0.900418057029882,0.059484909828351765,0.27586206896551724,1.0,0.03934426229508197,540.8786885245902,0.15235287732806513,4.88505462473912,0.9093853536779235,0.2158130294343683
5,0.9192898793737365,0.058355965461235344,0.27586206896551724,1.0,0.03934426229508197,666.6754098360656,0.1825016063473129,6.010084481649599,0.9278232576106497,0.19631053199770068
7,0.9412710878799124,0.044017973128545676,0.4482758620689655,1.0,0.05573770491803279,914.8295081967213,0.2399319889024895,8.214041072829941,0.9475908895062921,0.17009630754476998
10,0.9578487907087991,0.03749534223918161,0.5172413793103449,1.0,0.07868852459016394,1285.2295081967213,0.32253655298089445,11.502979341386586,0.9631019061910351,0.14391927502060778
15,0.9743172010425754,0.028755674343144903,0.6206896551724138,1.0,0.14426229508196722,1904.183606557377,0.4497773689783291,16.865051446754627,0.9778032002614884,0.11216827659995804
20,0.9853588723179199,0.015323866294765578,0.8620689655172413,1.0,0.23934426229508196,2524.255737704918,0.5682277678040348,22.088336894682467,0.9880398769815918,0.08211767168378652
25,0.9906751156861487,0.012022970423474078,0.956989247311828,1.0,0.580327868852459,3130.740983606557,0.678361169477649,27.103332335964005,0.9939010801253956,0.05816954104633625
30,0.9929504586335859,0.009830223838206371,0.9647058823529412,1.0,0.6262295081967213,3319.481967213115,0.713491520377117,30.0073345258203,0.9952159507926367,0.05127514164950094
