k,mean_recall,std_recall,min_recall,max_recall,success_rate,mean_edges_kept,mean_sparsity,mean_avg_degree,node_mean_recall,node_std_recall
2,0.7994975767241672,0.06828487193773375,0.1724137931034483,1.0,0.01639344262295082,260.4983606557377,0.0785568535502273,2.366262219993515,0.8072191599685026,0.27686382132615717
3,0.8690295634047582,0.06353565337805227,0.20689655172413793,1.0,0.029508196721311476,382.9409836065574,0.11221513417703409,3.4730642771784415,0.8741364196888882,0.24099194894958045
4,0.9042124209020816,0.0622495572331625,0.20689655172413793,1.0,0.036065573770491806,501.6622950819672,0.14299501022145703,4.550614879601099,0.9088579196814596,0.21378284612639611
5,0.923614575000171,0.06022070779765058,0.2413793103448276,1.0,0.04590163934426229,618.7114754098361,0.17200638790338713,5.611443289696367,0.928098117580638,0.19427224078079214
7,0.9455942150077266,0.051978453561071974,0.3448275862068966,1.0,0.07540983606557378,855.7737704918032,0.22823704104122056,7.737804373657714,0.9492251920305466,0.16629131441676465
10,0.9620462993513712,0.03587374574297964,0.5862068965517241,1.0,0.10163934426229508,1227.6688524590163,0.31187703245785725,11.021519557063598,0.965226499472566,0.13888901097173487
15,0.9790963623014033,0.0200514810544782,0.8275862068965517,1.0,0.18032786885245902,1857.6196721311476,0.44324979401403,16.497189751760367,0.9815992393064614,0.10113685557091541
20,0.9887704278925857,0.013123911149871402,0.896551724137931,1.0,0.2983606557377049,2476.613114754098,0.5625268302499848,21.77366146854755,0.9908776204555246,0.07053858071153742
25,0.9935273607082743,0.009337824250321097,0.9636363636363636,1.0,0.6065573770491803,3031.8131147540985,0.6642946229185747,26.60638315529415,0.9953645237493871,0.050042508177418656
30,0.9956426419135339,0.0074614450791688595,0.9636363636363636,1.0,0.7114754098360656,3307.0032786885245,0.7132513263685502,29.94994898624847,0.9966422511774407,0.042703647838471526
